Country Name,aid_type_general,aid_type_specific,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,Year,Country Code,"Armed forces personnel, total",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),Military expenditure (% of GDP),Military expenditure (current USD)
Austria,Humanitarian,Reconstruction,EUR,Allocation,75000000,,,,75000000,75000000.0,70433978.25088666,70433978.25088666,75000000.0,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,1817500,1835159.2368381193,1534453.5335692829,1817500,1835159.2368381193,1534453.5335692829,1534453.5335692829,1835159.2368381193,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,EUR,Allocation,5005199,5005199,5005199,4700481.033431463,5005199,5005199.0,4700481.033431463,4700481.033431463,5005199.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,EUR,Allocation,5000000,5000000,5000000,4695598.550059111,5000000,5000000.0,4695598.550059111,4695598.550059111,5000000.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,5422500,5315513.215819774,4444523.326924984,5422500,5315513.215819774,4444523.326924984,4444523.326924984,5315513.215819774,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Consolidation,EUR,Allocation,0,0,0,0.0,0,0.0,0.0,0.0,0.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Contribution,EUR,Allocation,5000000,5000000,5000000,4695598.550059111,5000000,5000000.0,4695598.550059111,4695598.550059111,5000000.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Contribution,EUR,Allocation,5000000,5000000,5000000,4403719.655930502,5000000,5000000.0,4403719.655930502,4403719.655930502,5000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Humanitarian,Consolidation,EUR,Allocation,3147960,3147960,3147960,2772546.665616597,3147960,3147960.0,2772546.665616597,2772546.665616597,3147960.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Humanitarian,Assistance,EUR,Allocation,18000000,18000000,18000000,15853390.761349808,18000000,18000000.0,15853390.761349808,15853390.761349808,18000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Humanitarian,Equipment,USD,Allocation,Not given,1270000,1157943.2577411497,932354.650361991,1270000,1157943.2577411497,932354.650361991,932354.650361991,1157943.2577411497,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Humanitarian,Equipment,EUR,Allocation,2000000,2000000,2000000,1761487.862372201,2000000,2000000.0,1761487.862372201,1761487.862372201,2000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Humanitarian,Contribution,EUR,Allocation,1000000,1000000,1000000,880743.9311861005,1000000,1000000.0,880743.9311861005,880743.9311861005,1000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Humanitarian,Contribution,EUR,Allocation,1000000,1000000,1000000,880743.9311861005,1000000,1000000.0,880743.9311861005,880743.9311861005,1000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Military,Equipment,USD,Allocation,Not given,3587374.05,3255638.6286873217,2898646.300442216,3587374.05,3255638.6286873217,2898646.300442216,2898646.300442216,3255638.6286873217,3147614.7919587037,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Military,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Military,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Military,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Financial,Grant,EUR,Allocation,10000000,10000000,10000000,9391197.100118222,10000000,10000000.0,9391197.100118222,9391197.100118222,10000000.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Financial,Grant,EUR,Allocation,20000000,20000000,20000000,18782394.200236443,20000000,20000000.0,18782394.200236443,18782394.200236443,20000000.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Financial,Grant,EUR,Allocation,10000000,10000000,10000000,9391197.100118222,10000000,10000000.0,9391197.100118222,9391197.100118222,10000000.0,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Financial,Grant,EUR,Allocation,30000000,30000000,30000000,26422317.935583014,30000000,30000000.0,26422317.935583014,26422317.935583014,30000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Austria,Financial,Grant,EUR,Allocation,10000000,10000000,10000000,8807439.311861005,10000000,10000000.0,8807439.311861005,8807439.311861005,10000000.0,.,2023,AUT,0.0,3000000.0,17000000.0,0.844274840737983,4409985263.67648
Belgium,Humanitarian,Equipment,EUR,Allocation,3400000,3400000,3400000,3193007.014040196,3400000,3400000.0,3193007.014040196,3193007.014040196,3400000.0,.,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Humanitarian,Equipment,EUR,Allocation,3400000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Humanitarian,Equipment,EUR,Allocation,3400000,,,,,,,,,,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Humanitarian,Equipment,EUR,Allocation,230000,230000,230000,215997.53330271912,230000,230000.0,215997.53330271912,215997.53330271912,230000.0,.,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Humanitarian,Assistance,EUR,Commitment,60600000,60600000,60600000,56910654.426716425,,,,,,.,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Humanitarian,Equipment,EUR,Allocation,800000,800000,800000,751295.7680094577,800000,800000.0,751295.7680094577,751295.7680094577,800000.0,.,2022,BEL,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
Belgium,Humanitarian,Equipment,EUR,Allocation,600000,600000,600000,528446.3587116603,600000,600000.0,528446.3587116603,528446.3587116603,600000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,14000000,14000000,14000000,12330415.036605407,14000000,14000000.0,12330415.036605407,12330415.036605407,14000000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,7000000,7000000,7000000,6165207.518302703,7000000,7000000.0,6165207.518302703,6165207.518302703,7000000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,3000000,3000000,3000000,2642231.7935583014,3000000,3000000.0,2642231.7935583014,2642231.7935583014,3000000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Equipment,EUR,Allocation,1850000,1850000,1850000,1629376.272694286,1850000,1850000.0,1629376.272694286,1629376.272694286,1850000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Equipment,EUR,Allocation,1600000,1600000,1600000,1409190.2898977608,1600000,1600000.0,1409190.2898977608,1409190.2898977608,1600000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,600000,600000,600000,528446.3587116603,600000,600000.0,528446.3587116603,528446.3587116603,600000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,1000000,1000000,1000000,880743.9311861005,1000000,1000000.0,880743.9311861005,880743.9311861005,1000000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Consolidation,EUR,Allocation,11260000,11260000,11260000,9917176.66515549,11260000,11260000.0,9917176.66515549,9917176.66515549,11260000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,2500000,2500000,2500000,2201859.827965251,2500000,2500000.0,2201859.827965251,2201859.827965251,2500000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Contribution,EUR,Allocation,2000000,2000000,2000000,1761487.862372201,2000000,2000000.0,1761487.862372201,1761487.862372201,2000000.0,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Budgetary appropriations,EUR,Commitment,60200000,60200000,60200000,53020784.65740325,,,,,,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
Belgium,Humanitarian,Budgetary appropriations,EUR,Commitment,10200000,10200000,10200000,8983588.098098226,,,,,,.,2023,BEL,0.0,39000000.0,12000000.0,1.21461599569106,7629396588.60593
