source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_sub_activity_value,tot_sub_activity_value_EUR,item_value_estimate_USD,item_value_estimate_deliv_USD
20000000.0,,,20000000.0,13669606.0,8747210.0,8747210.0
60000000.0,,,60000000.0,41196261.0,,
95000000.0,,,95000000.0,65227413.0,71227200.0,40955640.0
216666667.0,216666667.0,149861831.0,216666667.0,149861831.0,157286275.0,
0.0,0.0,0.0,,,,
318000000.0,318000000.0,214459789.0,,,,
2000000.0,2000000.0,1373209.0,,,,
216666667.0,,,216666667.0,149861831.0,157286275.0,
7500000.0,,,7500000.0,5093015.0,324800.0,324800.0
40000000.0,,,40000000.0,27162749.0,4459700.0,
3000000.0,,,3000000.0,2046265.0,,
13000000.0,,,13000000.0,8867149.0,4459700.0,
,,,8903400.0,8299401.0,8903400.0,8903400.0
76000000.0,,,76000000.0,51422104.0,,
,,,6810637.0,6330176.0,,
,,,,,145600.0,
,,,,,6665037.0,
,,,,,,
,,,385190.0,346831.0,385190.0,385190.0
,,,7663000.0,6899874.0,7663000.0,
,,,3871875.0,3486291.0,3871875.0,
,,,640248.0,576489.0,640248.0,
,,,78466430.0,70652287.0,78466430.0,
,,,40000000.0,38415366.0,40000000.0,
500000000.0,500000000.0,336286809.0,,,,
27300000.0,,,27300000.0,18208603.0,,
20000000.0,,,20000000.0,13339636.0,,
5000000.0,,,5000000.0,3334909.0,,
2000000.0,,,2000000.0,1333964.0,,
200000000.0,,,200000000.0,134195028.0,,
50000000.0,,,50000000.0,33548757.0,,
100000000.0,,,100000000.0,67097514.0,,
30000000.0,,,30000000.0,20129254.0,,
64000000.0,,,64000000.0,42942409.0,,
197000000.0,197000000.0,132857165.0,,,,
123000000.0,123000000.0,84452335.0,,,,
2000000000.0,2000000000.0,1269534202.0,,,,
216666667.0,,,216666667.0,149861831.0,157286275.0,
,,,105942691.0,67248935.0,105942691.0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
30000000.0,,,30000000.0,19043013.0,,
30000000.0,,,,,,
30000000.0,,,,,,
30000000.0,,,,,,
5000000.0,,,5000000.0,3173836.0,,
45000000.0,,,45000000.0,28564520.0,,
45000000.0,,,,,,
320000000.0,320000000.0,219713392.0,,,,
320000000.0,320000000.0,219713392.0,,,,
320000000.0,320000000.0,219713392.0,,,,
,,,,,,
,29684060.0,19931083.0,29684060.0,19931083.0,29684060.0,
5000000.0,5000000.0,715143.0,5000000.0,715143.0,,
10000000.0,10000000.0,1430287.0,10000000.0,1430287.0,,
200000.0,200000.0,200000.0,200000.0,200000.0,,
9100000.0,9100000.0,1207892.0,9100000.0,1207892.0,,
1516800.0,1516800.0,200696.0,1516800.0,200696.0,,
5000000.0,5000000.0,5000000.0,,,,
33000.0,33000.0,33000.0,33000.0,33000.0,,
3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1110800.0,
,1244096.0,1155257.0,1244096.0,1155257.0,1244096.0,
,,,,,,
29771015.0,29771015.0,29771015.0,29771015.0,29771015.0,,
43100507.0,43100507.0,43100507.0,43100507.0,43100507.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
,1161930.0,1055132.0,1161930.0,1055132.0,1161930.0,1161930.0
4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,
124000000.0,124000000.0,16459190.0,124000000.0,16459190.0,,
,63587118.0,62332534.0,63587118.0,62332534.0,63587118.0,63587118.0
44208276.0,44208276.0,44208276.0,44208276.0,44208276.0,,
500000.0,500000.0,500000.0,500000.0,500000.0,,
29771015.0,29771015.0,29771015.0,29771015.0,29771015.0,,
26104764.0,26104764.0,26104764.0,26104764.0,26104764.0,,
30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,
,17790000.0,16314593.0,17790000.0,16314593.0,17790000.0,
,21271047.0,19506941.0,21271047.0,19506941.0,21271047.0,
,,,,,,
,,,,,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,194400.0,
2000000.0,,,,,130000.0,
2000000.0,,,,,33750.0,
2000000.0,,,,,100000.0,
2000000.0,,,,,20086.0,
500000.0,500000.0,500000.0,500000.0,500000.0,,
300000.0,300000.0,300000.0,300000.0,300000.0,,
200000.0,200000.0,200000.0,200000.0,200000.0,,
0.0,0.0,0.0,0.0,0.0,,
,,,,,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
36600000.0,36600000.0,1495706.0,36600000.0,1495706.0,15222800.0,15222800.0
188106550.0,188106550.0,7697549.0,188106550.0,7697549.0,11117813.0,11117813.0
188106550.0,,,,,6330000.0,6330000.0
188106550.0,,,,,200000.0,200000.0
188106550.0,,,,,203125.0,203125.0
188106550.0,,,,,1469925.0,1469925.0
188106550.0,,,,,500000.0,500000.0
188106550.0,,,,,16560000.0,16560000.0
188106550.0,,,,,45992.0,45992.0
188106550.0,,,,,950000.0,950000.0
188106550.0,,,,,950000.0,950000.0
188106550.0,,,,,142500.0,142500.0
188106550.0,,,,,163875.0,163875.0
20885000.0,20885000.0,835182.0,20885000.0,835182.0,,
17000000.0,17000000.0,679823.0,17000000.0,679823.0,106000.0,106000.0
17000000.0,,,,,,
17000000.0,,,,,,
17000000.0,,,,,45144.0,45144.0
17000000.0,,,,,60000.0,60000.0
24000000.0,24000000.0,959750.0,24000000.0,959750.0,11000.0,11000.0
53260000.0,53260000.0,2129844.0,53260000.0,2129844.0,,
30000000.0,30000000.0,1221204.0,30000000.0,1221204.0,,
857000.0,857000.0,34271.0,857000.0,34271.0,26000.0,26000.0
,,,,,,
